n_0	n_1	n_2	n_3	n_4	n_5	n_6	n_7	Class
0	0	1	1	0	1	0	0	0
0	0	1	1	1	0	1	0	0
0	0	0	1	1	0	1	1	0
0	1	1	0	1	1	0	1	1
1	1	0	0	1	1	0	0	0
0	0	0	0	0	0	1	0	0
1	1	0	0	0	0	0	1	0
1	0	1	0	0	1	1	1	1
0	0	0	1	0	0	1	0	0
0	1	0	1	1	1	1	1	1
0	0	0	0	0	1	0	1	0
0	0	0	1	0	0	0	1	0
0	1	1	1	1	0	0	0	0
1	1	1	1	1	1	0	0	1
0	1	0	0	0	0	1	0	0
1	1	1	1	0	0	0	1	1
0	0	1	0	0	0	0	0	0
1	1	1	1	1	0	1	0	1
1	1	1	1	0	0	1	0	1
0	1	1	0	1	1	1	1	1
1	1	0	1	0	0	0	1	0
0	0	0	1	1	1	1	0	0
0	0	1	1	0	1	0	0	0
1	1	1	0	1	0	0	0	0
1	1	0	1	0	0	0	0	0
1	0	0	0	0	1	1	0	0
0	1	0	1	1	1	1	1	1
0	1	0	1	1	1	0	0	0
1	1	0	1	1	0	0	1	1
0	0	0	1	0	0	0	1	0
0	1	1	0	0	1	0	1	0
1	1	0	1	1	1	0	0	1
1	0	0	1	0	1	0	0	0
1	1	1	0	0	1	0	1	1
1	1	1	1	0	0	0	0	0
1	0	0	0	1	0	1	1	0
0	0	0	1	1	1	0	1	0
0	1	0	0	0	1	1	0	0
0	0	0	0	1	0	1	1	0
1	1	1	1	0	0	0	0	0
0	1	0	0	1	1	0	0	0
0	0	1	1	1	0	1	0	0
0	0	1	0	0	0	0	1	0
0	1	0	1	1	1	1	0	1
0	1	1	1	0	1	1	1	1
0	0	1	0	0	1	0	0	0
1	1	0	0	1	1	1	1	1
1	1	1	1	0	1	0	0	1
1	1	0	0	0	0	1	0	0
0	1	0	0	1	1	0	1	0
1	0	1	0	1	0	1	1	1
0	0	1	0	1	0	0	1	0
1	1	1	1	1	1	0	1	1
0	1	0	1	0	0	1	0	0
1	0	0	0	1	1	1	0	0
1	1	1	0	1	0	1	1	1
0	0	1	0	0	1	1	0	0
0	1	1	1	1	1	0	0	1
0	0	1	0	0	0	0	1	0
1	1	0	1	0	1	0	0	0
1	0	0	0	0	0	1	1	0
1	1	1	1	1	1	0	0	1
1	0	1	1	1	0	0	1	1
0	1	1	1	1	1	0	1	1
0	0	1	1	0	0	1	1	0
1	0	1	1	1	1	1	0	1
0	0	0	1	0	0	0	0	0
0	1	1	0	0	1	0	1	0
1	0	1	0	0	1	1	1	1
1	0	1	0	0	1	0	0	0
0	0	0	1	0	1	0	0	0
1	0	0	0	0	1	0	1	0
0	1	1	0	1	1	0	0	0
1	1	0	0	0	0	0	0	0
0	1	0	1	0	1	1	0	0
0	1	1	1	1	1	0	0	1
0	0	0	0	0	1	1	1	0
0	1	0	1	0	1	0	1	0
1	1	0	1	0	1	0	1	1
0	0	0	0	0	0	0	1	0
0	1	1	1	0	1	0	0	0
1	0	1	0	1	1	0	1	1
1	1	1	0	1	1	0	0	1
1	0	1	1	1	0	1	1	1
1	0	1	0	1	0	0	0	0
0	0	1	0	0	0	0	0	0
1	1	0	0	0	0	1	0	0
0	0	1	1	0	1	0	0	0
0	1	1	1	0	1	1	1	1
0	0	0	1	0	1	1	1	0
1	1	0	0	0	0	1	0	0
1	1	1	0	1	1	0	1	1
1	1	1	1	1	1	0	1	1
0	1	0	1	0	0	0	0	0
1	0	0	1	0	0	0	1	0
1	1	0	0	0	1	0	0	0
1	0	0	0	0	0	0	0	0
0	0	0	1	1	0	1	1	0
1	0	0	1	0	1	1	0	0
0	1	0	1	1	0	0	0	0
1	0	0	0	0	0	0	1	0
0	0	0	1	1	0	0	0	0
0	1	0	1	0	1	0	1	0
1	0	1	1	0	1	1	0	1
1	0	1	0	1	1	1	1	1
1	0	1	0	1	1	0	0	0
0	0	1	1	0	1	1	1	1
0	0	0	0	0	0	1	0	0
1	1	0	0	0	0	1	0	0
0	0	0	1	0	0	0	1	0
0	0	1	1	1	1	1	1	1
1	0	1	0	1	0	0	1	0
1	1	0	1	1	0	0	0	0
0	0	1	1	1	1	1	0	1
1	0	0	1	1	0	0	1	0
0	1	0	1	0	0	1	1	0
0	0	0	1	0	0	1	0	0
1	1	0	1	1	0	1	1	1
1	0	1	1	0	0	0	0	0
1	0	1	1	0	1	0	1	1
1	1	0	0	1	0	0	1	0
0	0	1	0	0	1	1	0	0
1	0	0	1	1	1	1	1	1
0	1	0	0	0	1	1	1	0
1	1	0	1	1	0	1	0	1
1	0	1	0	0	1	0	0	0
1	0	0	1	0	1	1	1	1
0	0	1	0	0	0	1	1	0
1	0	0	0	0	0	1	1	0
0	1	0	0	1	0	0	0	0
0	0	0	1	1	1	1	0	0
1	1	0	0	1	1	0	0	0
0	1	0	1	0	0	1	1	0
0	1	1	0	0	0	0	0	0
0	0	1	0	0	1	1	0	0
1	1	1	1	0	0	0	1	1
0	0	1	0	1	0	0	1	0
0	0	1	1	0	1	0	1	0
1	1	1	0	0	0	1	1	1
1	1	0	0	1	0	1	1	1
1	0	1	0	0	1	0	0	0
0	0	0	0	0	1	1	1	0
1	0	1	1	1	1	1	1	1
0	0	1	0	1	0	0	1	0
1	0	0	0	0	1	0	1	0
1	0	1	0	1	0	0	1	0
1	1	1	0	0	1	1	0	1
1	1	0	0	1	0	1	0	0
0	0	0	0	1	1	1	1	0
0	1	1	1	1	1	1	1	1
0	0	1	1	0	1	1	1	1
1	1	1	0	0	0	1	0	0
1	0	1	1	1	1	0	0	1
1	1	1	0	1	1	0	0	1
1	1	1	0	1	0	0	0	0
0	1	1	1	1	0	1	1	1
0	1	1	0	0	0	1	1	0
1	0	1	1	0	1	1	1	1
1	0	0	1	0	0	1	0	0
1	1	1	1	0	0	1	0	1
0	1	0	0	1	0	0	0	0
0	1	1	0	0	0	0	1	0
1	0	1	1	1	0	0	1	1
1	1	0	0	1	1	1	0	1
0	1	0	1	0	0	1	0	0
0	1	1	0	1	0	1	1	1
1	0	0	0	1	1	1	1	1
0	0	1	1	0	0	0	1	0
1	1	0	1	0	1	0	1	1
0	0	0	0	0	0	0	1	0
0	1	1	1	0	0	0	1	0
0	1	0	0	0	0	0	0	0
0	0	0	0	0	1	0	0	0
1	0	1	1	1	0	0	1	1
0	1	0	1	1	0	1	0	0
1	0	0	1	1	1	0	0	0
1	0	1	0	0	0	0	0	0
0	0	0	0	0	0	0	1	0
0	0	1	1	1	0	0	1	0
0	1	1	1	0	1	0	0	0
0	1	0	1	1	1	1	0	1
0	1	1	0	1	0	0	0	0
0	1	1	1	1	1	1	0	1
0	0	0	0	0	0	1	0	0
0	0	1	0	1	0	0	0	0
1	1	0	1	0	1	0	1	1
1	0	1	1	1	1	1	1	1
1	0	1	0	1	0	1	1	1
0	0	1	1	1	1	0	0	0
0	0	0	1	1	0	1	1	0
0	0	0	0	0	0	0	0	0
1	1	0	0	1	1	1	0	1
1	0	1	0	0	0	1	1	0
1	1	1	1	0	1	0	1	1
1	0	0	0	0	1	1	1	0
0	0	0	1	0	0	0	0	0
1	1	0	1	0	1	0	0	0
1	1	0	1	1	1	1	0	1
0	1	0	0	0	0	1	0	0
0	1	1	0	1	0	0	1	0
1	0	0	0	1	0	0	1	0
0	1	0	0	0	1	1	1	0
0	0	1	1	0	1	1	0	0
0	0	0	1	0	1	1	1	0
0	0	1	1	1	1	0	1	1
1	0	0	0	1	0	0	0	0
0	0	0	0	1	1	1	1	0
0	0	1	0	0	0	1	0	0
0	1	0	0	0	0	0	0	0
1	0	1	0	0	1	1	0	0
0	1	1	0	0	0	0	0	0
0	1	0	0	1	0	1	1	0
1	1	1	0	1	1	0	0	1
0	1	0	0	1	1	0	0	0
0	0	1	1	1	0	0	0	0
1	0	1	1	0	1	0	1	1
0	0	1	1	0	1	0	1	0
0	0	0	0	1	0	1	1	0
0	1	1	1	0	1	0	0	0
1	0	0	1	1	0	1	0	0
1	0	1	1	1	1	1	0	1
0	1	0	1	0	1	1	0	0
1	1	1	1	0	0	1	1	1
0	1	1	0	1	1	1	0	1
0	1	0	0	1	0	1	1	0
0	0	1	0	0	0	1	0	0
1	0	1	1	0	1	1	1	1
